City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
346,Bay Roberts,CA,53.65,overcast clouds,47.5999,-53.2648,Stonewall Inn
347,Nouadhibou,MR,64.83,overcast clouds,20.931,-17.0347,El Medina
348,Makakilo City,US,80.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
349,Komsomolskiy,UZ,67.6,broken clouds,40.4272,71.7189,Ikathouse
351,Orebro,SE,45.93,broken clouds,59.2741,15.2066,Clarion Hotel Örebro
352,Salamiyah,SY,71.38,broken clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
353,Wladyslawowo,PL,33.94,scattered clouds,54.7909,18.4009,Gwiazda Morza Resort SPA&SPORT
354,Molteno,ZA,47.34,clear sky,-31.3968,26.3625,Nadirashaleeta B&B
355,Marakkanam,IN,83.61,broken clouds,12.2,79.95,Samvasa by the Sea
356,Sisimiut,GL,18.81,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
357,Vao,NC,76.84,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
358,Paamiut,GL,26.01,overcast clouds,61.994,-49.6678,Pistut
